
Training on cuda | logs -> training_logs/run_seed41_config9_fresh_20260513_200943
Config: ..\..\configs\config9.yaml
Episodes: 0 -> ...
Steps: 0 -> 100000

Episode   119 | Steps:    3988 | Reward:   3.498 | Avg(100):   0.159 | Entropy: 0.0968 | Acc: 34.8% (8+ 15-) | Lifetime: 20.9%
  [Step 4000] Action dist: A0:10% | A1:12% | A2:44% | A3:15% | A4:19%
Episode   120 | Steps:    4028 | Reward:   1.197 | Avg(100):   0.181 | Entropy: 0.0968 | Acc: 22.5% (9+ 31-) | Lifetime: 20.9%
Episode   121 | Steps:    4047 | Reward:   5.898 | Avg(100):   0.236 | Entropy: 0.0968 | Acc: 52.6% (10+ 9-) | Lifetime: 21.0%
Episode   122 | Steps:    4081 | Reward:  -0.703 | Avg(100):   0.250 | Entropy: 0.0968 | Acc: 14.7% (5+ 29-) | Lifetime: 21.0%
Episode   123 | Steps:    4118 | Reward:   1.196 | Avg(100):   0.257 | Entropy: 0.0967 | Acc: 18.9% (7+ 30-) | Lifetime: 21.0%
Episode   124 | Steps:    4148 | Reward:   1.697 | Avg(100):   0.303 | Entropy: 0.0967 | Acc: 26.7% (8+ 22-) | Lifetime: 21.0%
Episode   125 | Steps:    4178 | Reward:   0.998 | Avg(100):   0.317 | Entropy: 0.0967 | Acc: 23.3% (7+ 23-) | Lifetime: 21.0%
Episode   126 | Steps:    4208 | Reward:   1.597 | Avg(100):   0.345 | Entropy: 0.0967 | Acc: 23.3% (7+ 23-) | Lifetime: 21.1%
Episode   127 | Steps:    4229 | Reward:   2.398 | Avg(100):   0.362 | Entropy: 0.0966 | Acc: 33.3% (7+ 14-) | Lifetime: 21.1%
Episode   128 | Steps:    4256 | Reward:   2.199 | Avg(100):   0.363 | Entropy: 0.0966 | Acc: 25.9% (7+ 20-) | Lifetime: 21.1%
Episode   129 | Steps:    4282 | Reward:   0.099 | Avg(100):   0.359 | Entropy: 0.0966 | Acc: 26.9% (7+ 19-) | Lifetime: 21.2%
Episode   130 | Steps:    4306 | Reward:   5.998 | Avg(100):   0.410 | Entropy: 0.0966 | Acc: 41.7% (10+ 14-) | Lifetime: 21.3%
Episode   131 | Steps:    4339 | Reward:   0.898 | Avg(100):   0.407 | Entropy: 0.0966 | Acc: 21.2% (7+ 26-) | Lifetime: 21.3%
Episode   132 | Steps:    4375 | Reward:  -1.003 | Avg(100):   0.411 | Entropy: 0.0965 | Acc: 19.4% (7+ 29-) | Lifetime: 21.3%
Episode   133 | Steps:    4409 | Reward:  -0.902 | Avg(100):   0.401 | Entropy: 0.0965 | Acc: 17.6% (6+ 28-) | Lifetime: 21.2%
Episode   134 | Steps:    4443 | Reward:  -1.602 | Avg(100):   0.391 | Entropy: 0.0965 | Acc: 14.7% (5+ 29-) | Lifetime: 21.2%
Episode   135 | Steps:    4474 | Reward:   1.699 | Avg(100):   0.399 | Entropy: 0.0965 | Acc: 29.0% (9+ 22-) | Lifetime: 21.3%
Episode   136 | Steps:    4478 | Reward:  -0.000 | Avg(100):   0.392 | Entropy: 0.0965 | Acc: 25.0% (1+ 3-) | Lifetime: 21.3%
  [Step 4500] Action dist: A0:12% | A1:15% | A2:45% | A3:14% | A4:15%
Episode   137 | Steps:    4503 | Reward:   1.000 | Avg(100):   0.418 | Entropy: 0.0964 | Acc: 32.0% (8+ 17-) | Lifetime: 21.3%
Episode   138 | Steps:    4534 | Reward:   0.997 | Avg(100):   0.392 | Entropy: 0.0964 | Acc: 22.6% (7+ 24-) | Lifetime: 21.3%
Episode   139 | Steps:    4564 | Reward:   2.499 | Avg(100):   0.413 | Entropy: 0.0964 | Acc: 33.3% (10+ 20-) | Lifetime: 21.4%
Episode   140 | Steps:    4590 | Reward:   0.697 | Avg(100):   0.371 | Entropy: 0.0964 | Acc: 19.2% (5+ 21-) | Lifetime: 21.4%
Episode   141 | Steps:    4617 | Reward:   2.897 | Avg(100):   0.430 | Entropy: 0.0963 | Acc: 29.6% (8+ 19-) | Lifetime: 21.4%
Episode   142 | Steps:    4650 | Reward:  -0.302 | Avg(100):   0.470 | Entropy: 0.0963 | Acc: 18.2% (6+ 27-) | Lifetime: 21.4%
Episode   143 | Steps:    4680 | Reward:   0.198 | Avg(100):   0.460 | Entropy: 0.0963 | Acc: 20.0% (6+ 24-) | Lifetime: 21.4%
Episode   144 | Steps:    4704 | Reward:   3.199 | Avg(100):   0.490 | Entropy: 0.0963 | Acc: 41.7% (10+ 14-) | Lifetime: 21.5%
Episode   145 | Steps:    4732 | Reward:  -0.703 | Avg(100):   0.488 | Entropy: 0.0963 | Acc: 17.9% (5+ 23-) | Lifetime: 21.5%
Episode   146 | Steps:    4758 | Reward:   2.700 | Avg(100):   0.534 | Entropy: 0.0962 | Acc: 38.5% (10+ 16-) | Lifetime: 21.6%
Episode   147 | Steps:    4797 | Reward:  -0.302 | Avg(100):   0.499 | Entropy: 0.0962 | Acc: 20.5% (8+ 31-) | Lifetime: 21.6%
Episode   148 | Steps:    4824 | Reward:   2.997 | Avg(100):   0.562 | Entropy: 0.0962 | Acc: 25.9% (7+ 20-) | Lifetime: 21.6%
Episode   149 | Steps:    4851 | Reward:   3.198 | Avg(100):   0.623 | Entropy: 0.0962 | Acc: 33.3% (9+ 18-) | Lifetime: 21.7%
Episode   150 | Steps:    4883 | Reward:  -0.403 | Avg(100):   0.601 | Entropy: 0.0961 | Acc: 18.8% (6+ 26-) | Lifetime: 21.6%
Episode   151 | Steps:    4920 | Reward:  -0.802 | Avg(100):   0.581 | Entropy: 0.0961 | Acc: 18.9% (7+ 30-) | Lifetime: 21.6%
Episode   152 | Steps:    4948 | Reward:   2.298 | Avg(100):   0.595 | Entropy: 0.0961 | Acc: 28.6% (8+ 20-) | Lifetime: 21.7%
Episode   153 | Steps:    4980 | Reward:   1.098 | Avg(100):   0.603 | Entropy: 0.0961 | Acc: 21.9% (7+ 25-) | Lifetime: 21.7%
  [Step 5000] Action dist: A0:13% | A1:20% | A2:36% | A3:18% | A4:13%
