
Training on cuda | logs -> training_logs/run_seed41_config3_resumed_20260523_013141
Config: ..\..\configs\config3.yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

No accuracy CSV at training_logs/run_seed41_config3_fresh_20260522_170933/accuracy_final.csv — starting fresh.
Episode   129 | Steps:    3977 | Reward:  -0.201 | Avg(100):   1.301 | Entropy: 0.0980 | Acc: 25.0% (3+ 9-) | Lifetime: 23.4%
  [Step 4000] Action dist: A0:6% | A1:7% | A2:45% | A3:30% | A4:12%
Episode   130 | Steps:    4000 | Reward:   2.598 | Avg(100):   1.345 | Entropy: 0.0980 | Acc: 30.4% (7+ 16-) | Lifetime: 23.5%
Episode   131 | Steps:    4022 | Reward:   1.400 | Avg(100):   1.349 | Entropy: 0.0980 | Acc: 36.4% (8+ 14-) | Lifetime: 23.5%
Episode   132 | Steps:    4050 | Reward:   2.197 | Avg(100):   1.365 | Entropy: 0.0980 | Acc: 28.6% (8+ 20-) | Lifetime: 23.6%
Episode   133 | Steps:    4068 | Reward:   2.899 | Avg(100):   1.392 | Entropy: 0.0980 | Acc: 38.9% (7+ 11-) | Lifetime: 23.6%
Episode   134 | Steps:    4099 | Reward:  -1.102 | Avg(100):   1.399 | Entropy: 0.0978 | Acc: 16.1% (5+ 26-) | Lifetime: 23.6%
Episode   135 | Steps:    4125 | Reward:   0.698 | Avg(100):   1.391 | Entropy: 0.0978 | Acc: 23.1% (6+ 20-) | Lifetime: 23.6%
Episode   136 | Steps:    4145 | Reward:   1.698 | Avg(100):   1.379 | Entropy: 0.0978 | Acc: 30.0% (6+ 14-) | Lifetime: 23.6%
Episode   137 | Steps:    4172 | Reward:   1.599 | Avg(100):   1.385 | Entropy: 0.0978 | Acc: 25.9% (7+ 20-) | Lifetime: 23.6%
Episode   138 | Steps:    4189 | Reward:   6.299 | Avg(100):   1.397 | Entropy: 0.0978 | Acc: 58.8% (10+ 7-) | Lifetime: 23.8%
Episode   139 | Steps:    4211 | Reward:   4.198 | Avg(100):   1.425 | Entropy: 0.0978 | Acc: 36.4% (8+ 14-) | Lifetime: 23.8%
Episode   140 | Steps:    4244 | Reward:   1.598 | Avg(100):   1.458 | Entropy: 0.0978 | Acc: 24.2% (8+ 25-) | Lifetime: 23.8%
Episode   141 | Steps:    4283 | Reward:   1.197 | Avg(100):   1.451 | Entropy: 0.0978 | Acc: 23.1% (9+ 30-) | Lifetime: 23.8%
Episode   142 | Steps:    4317 | Reward:  -2.003 | Avg(100):   1.451 | Entropy: 0.0978 | Acc: 11.8% (4+ 30-) | Lifetime: 23.7%
Episode   143 | Steps:    4345 | Reward:   2.897 | Avg(100):   1.461 | Entropy: 0.0978 | Acc: 28.6% (8+ 20-) | Lifetime: 23.8%
Episode   144 | Steps:    4366 | Reward:   4.399 | Avg(100):   1.503 | Entropy: 0.0977 | Acc: 42.9% (9+ 12-) | Lifetime: 23.9%
Episode   145 | Steps:    4391 | Reward:   1.598 | Avg(100):   1.502 | Entropy: 0.0977 | Acc: 28.0% (7+ 18-) | Lifetime: 23.9%
Episode   146 | Steps:    4425 | Reward:  -1.003 | Avg(100):   1.451 | Entropy: 0.0977 | Acc: 11.8% (4+ 30-) | Lifetime: 23.8%
Episode   147 | Steps:    4448 | Reward:   4.298 | Avg(100):   1.463 | Entropy: 0.0977 | Acc: 39.1% (9+ 14-) | Lifetime: 23.9%
Episode   148 | Steps:    4471 | Reward:   1.998 | Avg(100):   1.500 | Entropy: 0.0977 | Acc: 30.4% (7+ 16-) | Lifetime: 23.9%
Episode   149 | Steps:    4496 | Reward:   3.698 | Avg(100):   1.542 | Entropy: 0.0977 | Acc: 32.0% (8+ 17-) | Lifetime: 23.9%
  [Step 4500] Action dist: A0:6% | A1:8% | A2:47% | A3:26% | A4:13%
Episode   150 | Steps:    4520 | Reward:   1.100 | Avg(100):   1.532 | Entropy: 0.0977 | Acc: 29.2% (7+ 17-) | Lifetime: 24.0%
Episode   151 | Steps:    4537 | Reward:   5.799 | Avg(100):   1.571 | Entropy: 0.0977 | Acc: 52.9% (9+ 8-) | Lifetime: 24.1%
Episode   152 | Steps:    4567 | Reward:   0.598 | Avg(100):   1.572 | Entropy: 0.0977 | Acc: 20.0% (6+ 24-) | Lifetime: 24.1%
Episode   153 | Steps:    4591 | Reward:   1.500 | Avg(100):   1.565 | Entropy: 0.0977 | Acc: 29.2% (7+ 17-) | Lifetime: 24.1%
Episode   154 | Steps:    4626 | Reward:  -0.602 | Avg(100):   1.539 | Entropy: 0.0975 | Acc: 17.1% (6+ 29-) | Lifetime: 24.0%
Episode   155 | Steps:    4653 | Reward:   0.797 | Avg(100):   1.543 | Entropy: 0.0975 | Acc: 25.9% (7+ 20-) | Lifetime: 24.0%
Episode   156 | Steps:    4678 | Reward:   2.597 | Avg(100):   1.573 | Entropy: 0.0975 | Acc: 28.0% (7+ 18-) | Lifetime: 24.1%
Episode   157 | Steps:    4705 | Reward:  -0.101 | Avg(100):   1.576 | Entropy: 0.0975 | Acc: 22.2% (6+ 21-) | Lifetime: 24.1%
Episode   158 | Steps:    4734 | Reward:  -0.402 | Avg(100):   1.537 | Entropy: 0.0975 | Acc: 13.8% (4+ 25-) | Lifetime: 24.0%
Episode   159 | Steps:    4758 | Reward:   3.398 | Avg(100):   1.601 | Entropy: 0.0975 | Acc: 29.2% (7+ 17-) | Lifetime: 24.0%
Episode   160 | Steps:    4786 | Reward:  -0.001 | Avg(100):   1.598 | Entropy: 0.0975 | Acc: 25.0% (7+ 21-) | Lifetime: 24.0%
