
Training on cuda | logs -> training_logs/run_seed42_config4 (2)_fresh_20260529_231709
Config: ..\..\configs\config4 (2).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode   126 | Steps:    3272 | Reward:   0.298 | Avg(100):  -0.045 | Entropy: 0.0984 | Acc: 25.0% (7+ 21-) | Lifetime: 23.5%
Episode   127 | Steps:    3289 | Reward:   2.001 | Avg(100):  -0.014 | Entropy: 0.0984 | Acc: 41.2% (7+ 10-) | Lifetime: 23.6%
Episode   128 | Steps:    3298 | Reward:  -0.400 | Avg(100):   0.024 | Entropy: 0.0984 | Acc: 22.2% (2+ 7-) | Lifetime: 23.6%
Episode   129 | Steps:    3325 | Reward:  -0.903 | Avg(100):  -0.005 | Entropy: 0.0984 | Acc: 18.5% (5+ 22-) | Lifetime: 23.6%
Episode   130 | Steps:    3353 | Reward:  -1.603 | Avg(100):  -0.016 | Entropy: 0.0982 | Acc: 14.8% (4+ 23-) | Lifetime: 23.5%
Episode   131 | Steps:    3383 | Reward:  -2.502 | Avg(100):  -0.049 | Entropy: 0.0982 | Acc: 16.7% (5+ 25-) | Lifetime: 23.4%
Episode   132 | Steps:    3410 | Reward:   2.197 | Avg(100):  -0.008 | Entropy: 0.0982 | Acc: 26.9% (7+ 19-) | Lifetime: 23.4%
Episode   133 | Steps:    3426 | Reward:   3.199 | Avg(100):   0.044 | Entropy: 0.0982 | Acc: 43.8% (7+ 9-) | Lifetime: 23.5%
Episode   134 | Steps:    3448 | Reward:  -0.401 | Avg(100):   0.043 | Entropy: 0.0982 | Acc: 22.7% (5+ 17-) | Lifetime: 23.5%
Episode   135 | Steps:    3478 | Reward:  -2.703 | Avg(100):   0.029 | Entropy: 0.0982 | Acc: 13.3% (4+ 26-) | Lifetime: 23.4%
  [Step 3500] Action dist: A0:11% | A1:11% | A2:38% | A3:21% | A4:19%
Episode   136 | Steps:    3503 | Reward:  -0.503 | Avg(100):   0.028 | Entropy: 0.0982 | Acc: 20.0% (5+ 20-) | Lifetime: 23.4%
Episode   137 | Steps:    3526 | Reward:  -0.901 | Avg(100):   0.003 | Entropy: 0.0982 | Acc: 22.7% (5+ 17-) | Lifetime: 23.4%
Episode   138 | Steps:    3555 | Reward:   0.598 | Avg(100):  -0.010 | Entropy: 0.0982 | Acc: 24.1% (7+ 22-) | Lifetime: 23.4%
Episode   139 | Steps:    3580 | Reward:  -1.003 | Avg(100):  -0.006 | Entropy: 0.0982 | Acc: 16.7% (4+ 20-) | Lifetime: 23.4%
Episode   140 | Steps:    3608 | Reward:   0.497 | Avg(100):  -0.026 | Entropy: 0.0981 | Acc: 25.9% (7+ 20-) | Lifetime: 23.4%
Episode   141 | Steps:    3635 | Reward:  -2.000 | Avg(100):  -0.026 | Entropy: 0.0981 | Acc: 23.1% (6+ 20-) | Lifetime: 23.4%
Episode   142 | Steps:    3673 | Reward:  -4.504 | Avg(100):  -0.059 | Entropy: 0.0981 | Acc: 7.9% (3+ 35-) | Lifetime: 23.2%
Episode   143 | Steps:    3699 | Reward:  -2.202 | Avg(100):  -0.063 | Entropy: 0.0981 | Acc: 19.2% (5+ 21-) | Lifetime: 23.2%
Episode   144 | Steps:    3723 | Reward:  -0.101 | Avg(100):  -0.053 | Entropy: 0.0981 | Acc: 25.0% (6+ 18-) | Lifetime: 23.2%
Episode   145 | Steps:    3747 | Reward:  -0.302 | Avg(100):  -0.076 | Entropy: 0.0981 | Acc: 20.8% (5+ 19-) | Lifetime: 23.2%
Episode   146 | Steps:    3774 | Reward:   0.998 | Avg(100):  -0.031 | Entropy: 0.0981 | Acc: 25.9% (7+ 20-) | Lifetime: 23.2%
